director,director_score
Gore Verbinski,5
Alejandro Amenábar,5
Trey Parker,5
George Tillman Jr.,5
Majid Majidi,1
Anthony Waller,1
Robert Kurtzman,1
Brett Ratner,5
Jeb Stuart,0
Kasi Lemmons,1
Kiyoshi Kurosawa,1
Félix Enríquez Alcalá,0
Don Roos,1
Rob Sitch,1
Shuki Levy,1
Griffin Dunne,1
Theodore Witcher,1
David Evans,1
Peter O'Fallon,0
Sean Mathias,1
Erik Skjoldbjærg,1
Ole Bornedal,5
Mark Pavia,0
John Nicolella,0
Paul Miller,0
Ronny Yu,5
Vondie Curtis-Hall,0
Robert Duvall,1
James F. Robinson,1
Sammo Kam-Bo Hung,1
Steve James,0
Mark Dindal,5
Sam Pillsbury,1
Thomas Jahn,1
Mark Waters,5
Nick Cassavetes,5
Kevin Allen,0
Andy Cadiff,0
Mark Pellington,1
Bob Koherr,1
Stephen Kay,0
Tom Schulman,1
William Nicholson,1
Michael Davis,0
Andy Wilson,0
Neil LaBute,1
Robert Downey Sr.,1
Lionel C. Martin,1
John Patrick Kelley,1
Tony Kaye,1
Guy Ritchie,5
Nancy Meyers,5
Frank Coraci,5
Tony Bancroft,5
Terrence Malick,5
Gary Ross,5
Harry Elfont,0
Brenda Chapman,5
Randall Wallace,5
Thomas Vinterberg,1
Jamie Blanks,5
Darren Aronofsky,5
Shekhar Kapur,5
Mark Christopher,1
Peter Howitt,5
Vincent Gallo,0
David Nutter,1
Tom Tykwer,5
Eric Darnell,5
Christopher Nolan,5
Gaspar Noé,0
Karan Johar,5
Lance Mungia,0
Cédric Kahn,0
James Merendino,1
Antoine Fuqua,5
Gérard Pirès,0
Bob Saget,0
Peter Berg,5
François Girard,0
Kunihiko Yuyama,5
Hype Williams,1
Kirk Jones,5
Frederik Du Chau,5
Lukas Moodysson,1
Sarah Kernochan,1
Pat Proft,1
Mark Steven Johnson,5
Skip Woods,1
Troy Miller,0
Jonathan Darby,0
Kevin Rodney Sullivan,5
John Warren,0
Lisa Cholodenko,1
Willard Carroll,0
Igor Kovalyov,5
Ice Cube,1
Alan Cohn,1
Walter Salles,5
M. Night Shyamalan,5
Chris Eyre,1
Sean McNamara,1
Julio Medem,1
Dean Semler,0
Tamara Jenkins,1
John Pieplow,0
Hirokazu Koreeda,5
Steve Gomer,0
David Veloz,1
Steve Boyum,0
Predrag Antonijevic,0
Hirotsugu Kawasaki,1
David Dobkin,5
David Moreton,1
Neil Abramson,0
Paul McGuigan,1
Larry David,1
Nicole Garcia,1
Rodney Gibbons,1
Jake Kasdan,5
Tony Cinciripini,0
Dean Parisot,5
Joe Gayton,0
Paul Weitz,5
Sam Mendes,5
George Lucas,5
Gil Junger,1
Mike Judge,1
Roger Michell,5
Roger Kumble,5
Daniel Myrick,5
Sofia Coppola,5
Rob Minkoff,5
Troy Duffy,0
Robert Iscove,5
Chris Buck,5
Spike Jonze,1
Brad Bird,5
Kinka Usher,0
Mike Mitchell,5
Michael Patrick Jann,0
Kimberly Peirce,1
Jamie Babbit,1
Darren Stein,0
Tony Goldwyn,1
Brian Helgeland,5
Lynne Ramsay,1
David Koepp,5
Kevin Williamson,0
Josef Rusnak,1
John Schultz,5
Justin Kerrigan,1
John Bruno,0
Bruce McCulloch,0
Malcolm D. Lee,5
Tim Roth,1
Julie Taymor,1
Anne Wheeler,1
Michael Cristofer,0
Mic Rodgers,0
Bruno Dumont,1
Risa Bramon Garcia,1
Claude Zidi,1
Rand Ravich,0
Tim Hill,5
Rick Famuyiwa,1
Jeff Franklin,0
Gary Halvorson,0
Michael Corrente,1
Mark Tarlov,0
Takao Okawara,0
Damien O'Donnell,1
Michael Haigney,5
Louis Morneau,1
Colette Burson,1
Damon Santostefano,0
Martha Fiennes,0
Hiroyuki Okiura,1
Chris Roberts,0
Peter Ho-Sun Chan,1
Gary Sinyor,0
Michael Rymer,1
Antonio Banderas,0
Rolf Schübel,1
Scott Silver,0
Mike Barker,0
Peter Kassovitz,0
Jake Scott,1
Jean-Pierre Dardenne,1
Jim Fall,1
Shane Meadows,1
Frédéric Fonteyne,1
Max Färberböck,1
Scott Elliott,1
Hampton Fancher,1
Lloyd Kaufman,0
Alison Maclean,0
Mark Illsley,0
Frank Whaley,1
David McNally,5
McG,5
Todd Phillips,5
Peyton Reed,5
Peter Lord,5
Tarsem Singh,5
James Wong,5
Jonathan Glazer,1
Danny Leiner,5
John Fawcett,0
Stephen Daldry,5
Alejandro G. Iñárritu,5
Bibo Bergeron,5
Asia Argento,1
Eric Leighton,5
Steve Carr,5
Ben Younger,5
Matt Williams,1
Gina Prince-Bythewood,1
Tom Dey,5
Virginie Despentes,1
Patrick Lussier,5
Antony Hoffman,0
Courtney Solomon,0
Chris Koch,1
Joe Charbanic,1
Andrzej Bartkowiak,5
Andrew Dominik,1
Edward Norton,1
Joe Berlinger,1
Kenneth Lonergan,5
Diane Keaton,0
Edward Yang,1
Kris Isacsson,1
Christopher McQuarrie,5
Des McAnuff,0
E. Elias Merhige,1
Britt Allcroft,1
Bonnie Hunt,1
David Raynr,0
Miguel Arteta,5
Joan Chen,1
Ed Harris,1
Vic Sarin,1
Valerie Breiman,1
Robert Lee King,0
Nigel Cole,5
Michael Almereyda,1
Kim Ki-duk,1
François Ozon,5
Joel Hershman,1
Douglas Aarniokoski,0
John Ottman,1
Fina Torres,1
Jack Fletcher,1
Béla Tarr,1
Rod Lurie,0
Fabián Bielinsky,1
Greg Berlanti,5
Karyn Kusama,1
Bill Eagles,1
Davis Guggenheim,0
Jay Russell,5
João Pedro Rodrigues,1
Kamal Haasan,1
Stig Bergqvist,5
Michael Haneke,1
Denis Villeneuve,5
Gérard Krawczyk,5
Roy Andersson,1
Silvio Soldini,1
Dominic Anciano,1
Sally Field,0
Mark Piznarski,0
Jun Falkenstein,5
Craig Mazin,1
Janusz Kaminski,0
Rakesh Roshan,0
Del Shores,1
Samantha Lang,1
Ye Lou,0
Chuck Parello,0
Eric Blakeney,0
Thomas Bezucha,5
Robert Luketic,5
Pete Docter,5
Richard Kelly,0
Joel Gallen,5
Andrew Adamson,5
Terry Zwigoff,5
Jay Chandrasekhar,5
Steve Beck,5
Dennie Gordon,1
Michael Tollin,1
David Wain,5
Marc Forster,5
John Moore,5
Sharon Maguire,5
J.B. Rogers,5
Bill Paxton,0
Luke Greenfield,5
Jesse Dylan,5
Demian Lichtenstein,0
Christophe Gans,5
Daniel Sackheim,0
Adam Shankman,5
Brad Anderson,1
Brendan Malloy,0
John Cameron Mitchell,1
Tom Green,1
Takashi Miike,1
Gregory Poirier,1
Todd Field,1
Louis C.K.,0
Blair Hayes,0
Stephen Chow,5
John A. Davis,5
Tommy O'Haver,0
Éva Gárdos,1
Jordan Melamed,1
Ashutosh Gowariker,1
Hironobu Sakaguchi,0
Léa Pool,1
Francine McDougall,0
Lawrence Guterman,5
Chris Nahon,1
Henry Bean,0
Farhan Akhtar,1
Barry Skolnick,1
Oliver Hirschbiegel,5
Richard Eyre,1
Caroline Link,1
John Stockwell,1
Danis Tanovic,1
Gregor Jordan,0
Alan Cumming,1
Paddy Breathnach,1
Tim Blake Nelson,1
Jez Butterworth,1
Michel Gondry,5
Jon Favreau,5
Harald Zwart,5
Charles Herman-Wurmfeld,5
Brian Koppelman,1
Michael Cuesta,1
DJ Pooh,1
Chris Weitz,5
Mark Brown,1
Rintaro,0
Billy Morrissette,1
Maria Ripoll,1
Nicole Holofcener,1
Lucrecia Martel,1
Rob Pritts,1
Jacques Audiard,1
Chuck Sheetz,1
Mitch Davis,0
David Atkins,0
Fernando Meirelles,5
Steven Shainberg,0
Tom Brady,1
Chris Wedge,5
Dean DeBlois,5
Rob Marshall,5
Kurt Wimmer,0
Louis Leterrier,5
Walt Becker,5
Kelly Asbury,5
George Clooney,5
Ellory Elkayem,1
Mark Romanek,1
Eli Roth,5
Jean-Claude Brisseau,1
Ed Decter,1
Sanjay Leela Bhansali,5
Andrew Lau,5
Denzel Washington,5
Jonas Åkerlund,0
Park Chan-Wook,5
Marc Lawrence,5
Justin Lin,5
Shawn Levy,5
Perry Andelin Blake,1
Charles Stone III,5
Marcus Raboy,1
John Lee Hancock,5
Alain Chabat,5
Lucky McKee,0
Jesse Vaughan,0
Callie Khouri,5
Kevin Donovan,1
John Polson,5
Burr Steers,5
Peter Kosminsky,1
D.J. Caruso,5
Takashi Shimizu,5
Tim Story,5
Niki Caro,5
Joe Carnahan,5
Mort Nathan,0
Peter Mullan,1
Michael Lembeck,5
Dewey Nicks,0
Wallace Wolodarsky,1
Peter Hastings,0
Kevin Bray,1
Stephen Gaghan,5
Cédric Klapisch,1
Anthony Abrams,1
Robin Budd,5
Aleksandr Sokurov,1
Mars Callahan,0
Jaume Balagueró,1
Bob Dolman,1
Cathy Malkasian,1
Paul Greengrass,5
Seth Kearsley,0
Don Michael Paul,1
Susanne Bier,0
Wych Kaosayananda,0
Patricia Cardoso,1
John Stainton,1
Austin Chick,1
Nicolas Cage,1
Richard Curtis,5
Len Wiseman,5
Bong Joon Ho,5
Andrew Stanton,5
Catherine Hardwicke,5
Rob Schmidt,1
Patty Jenkins,5
Tommy Wiseau,0
Marcus Nispel,5
Clark Johnson,5
Rob Zombie,5
Tim McCanlies,1
Chris Kentis,5
Peter Webber,5
Bo Welch,1
Aaron Blaise,5
Audrey Wells,1
Alexandre Aja,5
Jonathan Liebesman,5
Bille Woodruff,5
James Cox,0
Patrick Gilmore,1
Uwe Boll,0
Vadim Perelman,0
Tom McCarthy,5
Wolfgang Becker,5
Casey La Scala,0
Prachya Pinkaew,1
Billy Ray,5
Wayne Kramer,0
Nikkhil Advani,1
Bruno Barreto,0
Andrey Zvyagintsev,1
David Mackenzie,1
Mikael Håfström,5
Sylvain Chomet,1
Je-yong Lee,1
David Hillenbrand,1
Stephen Fry,1
Yann Samuell,1
Paul Hunter,0
Reggie Rock Bythewood,0
Anders Thomas Jensen,1
Gordon Chan,0
Shari Springer Berman,1
Fenton Bailey,0
Glen Morgan,1
Troy Byer,1
Marco Tullio Giordana,1
C. Jay Cox,1
Linda Mendoza,1
Tim Fywell,1
Todd Graff,1
Steve Trenbirth,5
John Crowley,1
David Gordon Green,5
Richard Kwietniowski,0
Chris Rock,1
Peter Hedges,5
Anne Fontaine,1
Damian Nieman,0
Christine Jeffs,1
John Eng,1
Andrew Black,1
Ryan Little,1
Isabel Coixet,1
John Hoffman,1
Matthew Ryan Hoge,1
Clare Kilner,1
Larry Charles,5
Nimród Antal,5
Jeff Schaffer,0
Rawson Marshall Thurber,5
James Wan,5
Jonathan Hensleigh,1
Edgar Wright,5
Pawel Pawlikowski,1
Eric Bress,5
Matthew Vaughn,5
Jared Hess,5
Gary Winick,5
Paul Haggis,5
Zack Snyder,5
Alexander Witt,5
Adam McKay,5
David S. Goyer,5
Shane Carruth,1
John Hamburg,5
Cate Shortland,1
Stephen Hillenburg,5
Ethan Coen,5
Terry George,1
Zach Braff,5
Pitof,0
Don Mancini,1
Joseph Kahn,1
Joe Nussbaum,0
Gavin O'Connor,5
Sara Sugarman,1
Kerry Conran,0
Omar Naim,1
Pierre Morel,5
Brian Dannelly,1
Shainee Gabel,1
Jacob Estes,1
Guy Ferland,1
Angela Robinson,5
Jessy Terrero,0
Tod Williams,5
Anurag Kashyap,1
Christopher Erskin,1
Christophe Barratier,5
Nicole Kassell,1
Fruit Chan,1
Will Finn,1
Timur Bekmambetov,5
Laurence Dunmore,1
Christophe Honoré,1
Chris Stokes,1
Kevin Spacey,0
Charles Dance,1
Michael Clancy,0
Dennis Gansel,5
Alice Wu,1
Yash Chopra,0
Nick Hurran,0
Joshua Marston,1
Michael Dowse,1
Bart Freundlich,1
Farah Khan,1
Je-kyu Kang,5
Ziad Doueiri,1
Masaaki Yuasa,1
Kay Pollak,1
Sanjay Gadhvi,1
Robert C. Ramirez,1
Marco Kreuzpaintner,1
Judd Apatow,5
Joe Wright,5
Neil Marshall,1
Frank Miller,5
James McTeigue,5
Francis Lawrence,5
Garth Jennings,5
Lexi Alexander,0
Joss Whedon,5
Rob McKittrick,1
Jean-François Richet,1
David Slade,5
Jaume Collet-Serra,5
Shane Black,5
Dave McKean,0
Darren Lynn Bousman,5
Robert Schwentke,5
Andrew Douglas,5
Breck Eisner,5
Rian Johnson,5
Greg McLean,1
Scott Derrickson,5
Susan Stroman,0
Barry W. Blaustein,1
Bruce Hunt,1
Ol Parker,5
Bennett Miller,5
Hideo Nakata,5
Hunter Richards,1
Mike Bigelow,1
David Ayer,5
Darren Grant,1
Steve Box,5
John Maybury,0
Jason Reitman,5
Julian Jarrold,1
John Turturro,1
Florent-Emilio Siri,1
Cory Edwards,5
Tommy Lee Jones,0
John Gulager,1
Jeff Wadlow,5
John Hillcoat,1
Craig Brewer,5
Richard Shepard,0
Rebecca Miller,0
Geoffrey Sax,5
Niall Johnson,1
Miranda July,1
Duncan Tucker,1
Andy Garcia,0
Arie Posin,0
Gary Chapman,1
Phil Morrison,1
Carlos Reygadas,1
Mark Levin,1
John Gatins,1
Bent Hamer,1
Sturla Gunnarsson,1
Christian Carion,1
John Asher,1
Liev Schreiber,0
Mike Mills,1
Andy Fickman,5
Gabriele Muccino,5
Jonathan Dayton,5
Kevin Macdonald,5
Florian Henckel von Donnersmarck,5
J.J. Abrams,5
Steve Pink,1
James Gunn,5
Sean Ellis,1
Nicholaus Goossen,1
Liam Lynch,0
Jessica Bendinger,1
Anne Fletcher,5
Mark Neveldine,5
Neil Burger,5
Tim Johnson,5
Elizabeth Allen Rosenbaum,1
Stefen Fangmeier,5
Gil Kenan,5
Greg Coolidge,1
David Bowers,5
Werner Herzog,0
Susannah Grant,0
Guillaume Canet,5
Alejandro Agresti,5
Neil Armfield,1
Mark Palansky,1
Carlos Saldanha,5
William Brent Bell,5
David Von Ancken,0
Ericson Core,1
Adam Green,1
Tyler Perry,5
John Bonito,1
John Curran,1
Bob Odenkirk,0
George Hickenlooper,0
Doug Atchison,1
Michael O. Sajbel,1
Joachim Trier,0
Aaron Seltzer,5
Anthony Russo,5
Matthew O'Callaghan,1
Gorô Miyazaki,5
Michael Mayer,1
James Gartner,1
Goran Dukic,0
Gregory Dark,1
Allen Coulter,1
Michel Hazanavicius,5
Chris Robinson,1
Scott Glosserman,1
Ryan Fleck,1
Steve 'Spaz' Williams,1
Jonathan King,1
Liz Friedlander,1
Rakeysh Omprakash Mehra,1
Jim Sonzero,1
Jody Hill,1
Michael Polish,0
Tom Vaughan,5
Nick Guthe,0
Todd Robinson,0
Dito Montiel,1
Colin Brady,0
Christopher Smith,1
Katherine Brooks,0
Nicholas Mastandrea,1
Wil Shriner,0
Ben Affleck,5
David Yates,5
Juan Carlos Fresnadillo,1
Xavier Gens,5
Akiva Schaffer,1
Gabor Csupo,5
Josh Gordon,5
Ash Brannon,1
Joby Harold,1
Simon J. Smith,5
Colin Strause,5
Chris Miller,5
Mark Helfrich,1
David Ross,1
Nacho Vigalondo,0
Jason Friedberg,5
Stephen J. Anderson,1
Tony Gilroy,5
Oren Peli,5
Richard LaGravenese,5
Craig Gillespie,1
J.A. Bayona,5
Mennan Yapo,5
David Silverman,5
Mitchell Lichtenstein,1
Aamir Khan,1
Steve Bendelack,5
Scott Wiper,1
Kirsten Sheridan,1
Robert Ben Garant,5
Anton Corbijn,5
Scott Frank,1
Olivier Dahan,5
John Carney,5
Philip G. Atwell,1
Adrienne Shelly,1
David L. Cunningham,0
Kevin Munroe,5
Martin Weisz,1
Jonah Markowitz,1
Dave Meyers,1
José Padilha,5
Danny Pang,1
Céline Sciamma,1
Franck Khalfoun,1
Vincent Paronnaud,1
John August,1
Chris Sivertson,0
Zach Helm,1
Sebastian Gutierrez,1
Thor Freudenthal,5
Cristian Mungiu,1
Daniel Waters,0
Jon Poll,0
Doug Lefler,0
Masayuki,1
Sergei Bodrov,1
Taika Waititi,5
Alan Ball,1
Stefan Ruzowitzky,1
Jeff Nichols,1
Jonathan Kasdan,1
George Ratliff,1
Imtiaz Ali,1
Gavin Hood,5
Michael Katleman,1
Bernie Goldmann,1
Sylvain White,5
Deborah Kampmeier,0
J.P. Schaefer,1
Robin Swicord,1
Mark Osborne,5
Phyllida Lloyd,5
Bryan Bertino,5
Nicholas Stoller,5
Martin McDonagh,5
Michael Patrick King,5
Fred Wolf,1
Saul Dibb,1
James Watkins,5
Carter Smith,1
Justin Chadwick,1
Eric Brevig,5
Ric Roman Waugh,5
Byron Howard,5
Sean Anders,5
Tomas Alfredson,5
Nick Moore,1
Charlie Kaufman,0
Peter Sollett,1
Jon M. Chu,5
Kent Alterman,0
Howard McCain,0
David Hackl,5
Bharat Nalluri,1
Steve McQueen,5
Jimmy Hayward,5
Diane English,1
Clark Gregg,1
Ryûhei Kitamura,0
Pete Travis,5
Tom Putnam,1
Robert B. Weide,0
Olivier Megaton,5
Nelson McCormick,1
Dave Filoni,5
Jon Hurwitz,5
Michael McCullers,1
Jennifer Flackett,5
John Erick Dowdle,5
George C. Wolfe,5
Seth Gordon,5
Sanaa Hamri,1
Shamim Sarif,1
Matteo Garrone,1
Jee-woon Kim,1
Rodrigo García,0
Masayuki Ochiai,1
Marcel Langenegger,0
A.R. Murugadoss,1
Olly Blackburn,1
David Moreau,1
Marco Schnabel,0
Chris Carter,1
Frédéric Forestier,5
Eric Valette,1
Alex Kendrick,5
Jeffrey Nachmanoff,0
Darnell Martin,0
Bruce McDonald,0
Ari Folman,1
Yôjirô Takita,5
Guillermo Arriaga,0
Sam Fell,1
Marc Schölermann,0
Marcos Siega,1
Mabrouk El Mechri,0
Tony Leondis,5
Jonathan Levine,5
Courtney Hunt,1
S.R. Bindler,0
Joel Hopkins,1
Ruben Fleischer,5
Marc Webb,5
Neill Blomkamp,5
Rajkumar Hirani,5
Kyle Newman,0
Duncan Jones,5
Tom Six,1
Jaco Van Dormael,0
Will Gluck,5
Yorgos Lanthimos,5
Drew Barrymore,1
Juan José Campanella,1
Christian Alvart,0
Rob Letterman,5
Patrick Tatopoulos,5
Peter Billingsley,5
Dennis Iliadis,1
Niels Arden Oplev,5
Stewart Hendler,1
Lee Daniels,5
Phil Lord,5
Ricky Gervais,1
Olatunde Osunsanmi,1
Marcus Dunstan,1
Grant Heslov,1
Tom Ford,1
Philippe Diaz,1
Derrick Borte,0
Michael Spierig,5
Lone Scherfig,5
Scott Cooper,5
Charles Guard,1
Shane Acker,1
Jean-Marc Vallée,5
Kevin Greutert,5
Andrea Arnold,1
Agnieszka Wojtowicz-Vosloo,0
Steve Shill,5
Cheryl Hines,1
Phil Traill,1
Sam Taylor-Johnson,5
Daniel Alfredson,5
Peter Cornwell,5
Glenn Ficarra,5
Scott Sanders,0
Armando Iannucci,1
Asghar Farhadi,1
Kevin Tancharoen,5
Luca Guadagnino,1
Ti West,0
David Pastor,1
Hoyt Yeatman,5
Brandon Camp,1
Daniel Barber,1
John Hindman,1
Jorge Blanco,1
Cary Joji Fukunaga,1
Raymond De Felitta,1
Tommy Wirkola,5
Mamoru Hosoda,1
Oren Moverman,0
Rick Jacobson,1
Kieran Mulroney,1
Tomm Moore,0
J Blakeson,5
Neal Brennan,1
Zach Cregger,0
Michel Franco,1
Tom Hooper,5
Francesca Gregorini,0
Jordan Scott,1
Jim Field Smith,1
Gareth Edwards,5
Nathan Greno,5
Steven R. Monroe,0
Steve Antin,1
Pierre Coffin,5
Derek Cianfrance,5
Joseph Kosinski,5
Lee Unkrich,5
Ethan Maniquis,1
Tom McGrath,5
Ryan Murphy,5
David Michôd,0
Rodrigo Cortés,1
Scott Stewart,5
Debra Granik,1
Samuel Bayer,5
John Luessenhop,5
Eli Craig,1
Anna Boden,5
Anand Tucker,1
Christopher Morris,1
Floria Sigismondi,0
Jorma Taccone,0
Panos Cosmatos,0
Apichatpong Weerasethakul,1
Jeong-beom Lee,1
André Øvredal,5
Hiromasa Yonebayashi,5
Richard Ayoade,1
Julie Anne Robinson,5
Quentin Dupieux,0
Susanna White,5
Andrew Jarecki,1
Nanette Burstein,1
Wilson Yip,5
Miguel Sapochnik,0
Casey Affleck,1
Larysa Kondracki,1
Sang-soo Im,1
David Schwimmer,0
Massy Tadjedin,1
John Wells,5
Jay Duplass,1
Daniel Stamm,5
Abe Sylvia,0
William Monahan,0
Baran bo Odar,1
Alan Poul,1
Dallas Jenkins,1
Vikramaditya Motwane,1
Troy Nixey,1
Shana Feste,1
Daniel Espinosa,5
Jim Mickle,0
Richard J. Lewis,0
Malcolm Venville,0
Gilles Paquet-Brenner,1
Sngmoo Lee,0
Spencer Susser,0
Nick Tomnay,0
Mitch Glazer,0
Dan Rush,0
Paul Feig,5
Olivier Nakache,5
Drew Goddard,1
Tate Taylor,5
Jennifer Yuh Nelson,5
Julia Leigh,1
Rupert Wyatt,5
Brad Furman,5
George Nolfi,5
Jamie Linden,1
Gareth Evans,1
J.C. Chandor,1
Sean Durkin,1
Chris Gorak,1
Steven Quale,5
Adam Wingard,5
Zoya Akhtar,1
Daniel Nettheim,1
Matthijs van Heijningen Jr.,0
Gary McKendry,0
James Bobin,5
Justin Kurzel,5
Ben Palmer,5
Ben Wheatley,1
Joe Cornish,0
John Michael McDonagh,1
Mike Cahill,1
Drake Doremus,0
Mark Mylod,1
Daniel Barnz,1
Gavin Wiesen,1
Simon Curtis,5
Paolo Sorrentino,5
Jason Eisener,0
Christian E. Christiansen,1
Zal Batmanglij,0
Madonna,0
Bertrand Bonello,1
Jesse Peretz,1
Andrew Haigh,1
Alister Grierson,5
Morten Tyldum,5
Lynn Shelton,1
Ami Canaan Mann,1
Sarah Polley,1
Alex Gregory,1
Stéphane Rybojad,1
Gonzalo López-Gallego,1
Paul Johansson,0
Ralph Fiennes,1
Malgorzata Szumowska,1
Gaby Dellal,1
Tanya Wexler,0
Paddy Considine,1
Nuri Bilge Ceylan,1
Jason Moore,5
Stephen Chbosky,5
Rupert Sanders,5
Seth MacFarlane,5
Mark Andrews,5
Genndy Tartakovsky,5
Måns Mårlind,5
Lorene Scafaria,5
Rich Moore,5
Nima Nourizadeh,5
Brad Peyton,5
Colin Trevorrow,5
Josh Trank,5
Dan Bradley,0
Chris Renaud,5
Asger Leth,1
Peter Ramsey,5
Ariel Vromen,1
Mark Tonderai,1
Ben Lewin,0
Michael Sucsy,5
Craig Zobel,0
David Palmer,1
Mike McCoy,5
Lisa Azuelos,0
Heitor Dhalia,1
Steve Martino,5
Stephen Elliott,0
Sacha Gervasi,1
Scott Speer,5
Josh Boone,5
M.J. Bassett,1
Ramaa Mosley,0
Robert Lorenz,1
Lee Kirk,1
Chris Butler,0
Baltasar Kormákur,5
Nicholas Jarecki,1
RZA,1
Nikolaj Arcel,5
Fisher Stevens,0
Brian Klugman,1
Felix van Groeningen,0
Stuart Blumberg,1
Sean Baker,1
John Hyams,0
Benh Zeitlin,1
Anthony Hemingway,0
Todd Lincoln,0
James Mather,1
Leslye Headland,1
Sujoy Ghosh,1
Josh Radnor,0
Joachim Rønning,5
Henry Joost,5
Dustin Hoffman,1
Matt Ross,1
Juan Solanas,0
David Chase,0
Henry Alex Rubin,0
Bradley Parker,1
Lee Toland Krieger,1
Reema Kagti,0
Alex Kurtzman,5
Petter Næss,1
Nick Love,1
Anurag Basu,1
Declan Donnellan,1
Paul Andrew Williams,1
Cal Brunker,1
Jamie Travis,1
Homi Adajania,0
Josh Schwartz,0
Jake Schreier,5
Alan Taylor,5
James DeMonaco,5
Abdellatif Kechiche,1
Dan Scanlon,5
Joseph Gordon-Levitt,1
Kirk DeMicco,5
Evan Goldberg,5
Nat Faxon,1
Fede Alvarez,5
James Ward Byrkit,1
Andy Muschietti,5
Carl Rinsch,0
Steven Knight,0
Mike Flanagan,5
Aharon Keshales,1
Maggie Carey,1
David Soren,5
Amma Asante,1
James Ponsoldt,1
Jon S. Baird,1
Don McKellar,0
Destin Daniel Cretton,1
Brian Percival,5
Rob Epstein,0
Daniel Schechter,0
Ken Scott,1
Joey Soloway,1
Klay Hall,5
Cody Cameron,5
Jeremy Saulnier,0
Jordan Vogt-Roberts,5
Allen Hughes,0
Jorge Dorado,0
Don Scardino,0
Jerusha Hess,1
Justin Zackham,1
John Krokidas,1
Ryan Coogler,5
Gia Coppola,1
Jeff Tremaine,5
Joshua Michael Stern,1
Sebastián Cordero,1
Dan Mazer,5
Jon Lucas,5
Michael Tiddes,5
Ayan Mukherjee,1
Peter Landesman,1
Charlie Stratton,1
Joe Lynch,1
Jason Bateman,0
Lake Bell,1
David Lowery,5
Keanu Reeves,0
Ritesh Batra,1
Park Hoon-jung,1
Fredrik Bond,1
Chad Stahelski,5
Damien Chazelle,5
Alex Garland,1
Dan Gilroy,1
Wes Ball,5
Jemaine Clement,1
David Robert Mitchell,1
Noam Murro,5
Christian Ditter,5
Don Hall,5
Robert Stromberg,5
Angelina Jolie,5
Christopher Miller,5
James Marsh,5
Patrick Hughes,5
Michaël R. Roskam,1
Jennifer Kent,1
Damián Szifron,1
Camille Delamarre,5
Leigh Janiak,0
Chris Evans,1
Scott Waugh,5
Paul King,5
Xavier Dolan,0
James Kent,1
Jonathan Milott,1
Jorge R. Gutiérrez,1
Severin Fiala,1
Gary Shore,5
Levan Gabriadze,5
Wally Pfister,1
Courteney Cox,1
Rowan Joffe,0
Philippe Falardeau,0
Kriv Stenders,1
Tom Gormican,1
Alan Rickman,1
Erik Van Looy,0
Jon Watts,5
William Eubank,0
R.J. Cutler,5
Yann Demange,1
Richard Glatzer,1
Justin Benson,1
Bill Pohlad,1
Russell Crowe,1
Ava DuVernay,5
Rob Thomas,0
Charlie McDowell,1
Stuart Beattie,1
Max Nichols,1
Julius Avery,1
Vic Armstrong,1
Theodore Melfi,5
Trish Sie,5
Kristian Levring,1
Harold Cronk,5
Akiva Goldsman,0
James Simone,1
Ben Falcone,5
Jalmari Helander,1
Pascal Chaumeil,0
Ruben Östlund,1
Ryan Gosling,0
John Pogue,1
Jordan Rubin,1
Sam Miller,1
Peter Strickland,0
Richard Laxton,1
Lenny Abrahamson,1
Sarah Gavron,1
Stiles White,5
Justin Simien,1
Benny Safdie,0
Roberts Gannaway,5
Ramin Bahrani,0
Adriana Trigiani,1
Robert Eggers,5
Bryan Buckley,0
John Francis Daley,5
Marc Abraham,0
Kyle Balda,5
Elizabeth Banks,5
Sanyuan Peng,1
Peter Sohn,5
Joel Edgerton,5
Etan Cohen,5
Aleksander Bach,1
Christopher Landon,5
Ilya Naishuller,1
Paco Cabezas,0
Gregory Jacobs,5
Ari Sandel,5
Kyle Patrick Alvarez,1
Leigh Whannell,5
S.S. Rajamouli,5
Jeremy Garelick,5
Paul Tibbitt,5
Roar Uthaug,5
Hannes Holm,1
Alfonso Gomez-Rejon,1
Marielle Heller,1
Deniz Gamze Ergüven,1
Ciarán Foy,1
Catherine Corsini,1
Duke Johnson,0
Oz Perkins,1
Nishikant Kamat,0
Shinji Higuchi,1
Dexter Fletcher,5
Sean Mewshaw,1
Max Joseph,1
Brett Haley,1
Henry Hobson,1
Dean Israelite,5
Rupert Goold,1
Matt Brown,1
Martin Zandvliet,1
Michael Dougherty,5
Kabir Khan,5
Agnieszka Smoczynska,1
Gary Rydstrom,1
David Gelb,1
Patricia Riggen,5
Travis Cluff,1
David Farr,1
Paul Gross,1
John Maclean,0
Simon Stone,1
François Simard,1
Patrick Brice,1
Michael Showalter,5
Dan Fogelman,0
László Nemes,1
Sang-hoon Ahn,1
Daniel Lee,5
Tim Miller,5
Thea Sharrock,5
William Oldroyd,1
Cedric Nicolas-Troyan,1
Makoto Shinkai,5
Alessandro Carloni,5
Julia Ducournau,1
Sang-ho Yeon,5
Anna Foerster,1
Greg Tiernan,5
Barry Jenkins,5
Dan Trachtenberg,5
Garth Davis,5
David F. Sandberg,5
Deon Taylor,1
Nitesh Tiwari,5
Ana Lily Amirpour,0
