director,director_score
Clive Smith,0
Luigi Cozzi,1
Lewis Gilbert,1
Lynne Littman,1
Sam Peckinpah,0
Sam Firstenberg,1
Robert Mandel,1
Enzo G. Castellari,0
Alan Johnson,0
Nicolas Roeg,1
Antonio Margheriti,1
George P. Cosmatos,5
John Mackenzie,0
Peter Sasdy,0
Franc Roddam,1
Joseph Sargent,1
Jeff Kanew,5
Jeremy Kagan,1
John Sayles,1
Jonathan Kaplan,1
Amy Holden Jones,1
Ferdinand Fairfax,0
Michael Laughlin,1
Robert Dalva,1
William Olsen,1
Bryan Forbes,0
Marshall Brickman,0
Donald Shebib,0
James Toback,0
Michael Tuchner,0
Cirio H. Santiago,1
Robert Lieberman,1
Lawrence David Foldes,0
Dick Richards,0
Terry Bedford,1
Roland Klick,0
Richard Pryor,1
Paul Aaron,0
Charles Burnett,1
Richard Michaels,0
David Nelson,0
Mark Pirro,0
David Drury,1
Frank Zuniga,1
Tom Logan,0
James Cameron,5
David Lynch,0
Sergio Leone,0
Hugh Wilson,5
Martin Brest,5
Robert Zemeckis,5
John Hughes,5
Rob Reiner,5
Michael Radford,1
Fritz Kiersch,1
Nick Castle,5
Joel Coen,5
Neal Israel,1
Hayao Miyazaki,5
Joseph Zito,1
Mark Griffiths,1
Roger Donaldson,5
Mark L. Lester,1
Douglas Cheek,1
Gene Wilder,1
W.D. Richter,1
Leonard Nimoy,5
Alex Cox,0
Roland Joffé,0
Thom Eberhardt,1
Stanley Donen,1
Joseph Ruben,5
Stewart Raffill,0
Jim Jarmusch,5
David Lean,1
Albert Magnoli,5
Stephen Frears,5
John Guillermin,0
Frank Oz,5
Just Jaeckin,1
Joel Silberg,1
Neil Jordan,5
Luca Bercovici,0
Steve Barron,5
Charles E. Sellier Jr.,1
Hy Averback,1
James Foley,5
Richard Tuggle,5
Robert Butler,0
Stan Lathan,1
John Byrum,0
Marvin J. Chomsky,1
John C. Broderick,1
Ruggero Deodato,0
Tengiz Abuladze,0
Russell Mulcahy,5
Roger Young,1
Charles Shyer,5
William Tannen,0
Paul Bartel,0
Jim Sotos,1
Robert Boris,1
Douglas Day Stewart,1
Willard Huyck,1
Mark Buntzman,1
Dorian Walker,1
Éric Rohmer,1
Gillian Armstrong,1
Richard Pearce,1
Peter Webb,0
Marcelo Epstein,1
Thomas Rickman,1
Paolo Taviani,0
Malcolm Mowbray,0
Rob Cohen,5
Paul Bogart,1
Lawrence Dane,1
Bobby Roth,1
Bertrand Tavernier,1
Armyan Bernstein,1
Rod Amateau,1
Richard C. Sarafian,1
Lawrence Bassoff,1
Menahem Golan,0
Ken Cameron,0
Károly Makk,0
Roy Battersby,1
Adam Brooks,5
Ippei Kuri,0
Gene Taft,0
Gérard Lauzier,1
Jonathan Lynn,5
Peter Bogdanovich,1
Dan O'Bannon,1
Rod Daniel,5
Savage Steve Holland,1
Akira Kurosawa,0
Tom Holland,5
Paul Verhoeven,5
Jack Sholder,1
Tim Burton,5
Lisa Gottlieb,1
Jerry Paris,5
Ted Berman,0
Danny Steinmann,1
Andrey Konchalovskiy,1
Stuart Gordon,0
Susan Seidelman,1
Alan Metter,5
Howard Storm,1
Jackie Chan,1
Daniel Attias,1
Hector Babenco,0
Joyce Chopra,0
James Komack,1
Geoff Murphy,5
Jûzô Itami,1
William Malone,0
David Greenwalt,1
Corey Yuen,0
Simon Wincer,5
Michael Dinner,1
Kevin Reynolds,5
Rudy De Luca,1
Donna Deitch,1
Cary Medoway,1
Lasse Hallström,5
Jonathan R. Betuel,1
Linda Feferman,0
James Frawley,1
Luc Besson,5
John McTiernan,5
Bill Norton,1
Andrew Davis,5
Robert Clouse,1
Christopher Cain,1
Will Vinton,1
Mike Hodges,1
Peter Masterson,1
Lance Hool,1
Phillip Borsos,1
Luis Puenzo,0
Hal Barwood,1
Emir Kusturica,0
Steven Hahn,0
Paul Donovan,1
Arna Selznick,1
Bud Yorkin,1
Dick Clement,1
Robert Dornhelm,0
Freddie Francis,1
Gavin Millar,1
Harvey Miller,1
David Hare,1
Bernard Deyriès,1
Coline Serreau,1
Raju Patel,0
Jovan Acin,0
Stephen Gyllenhaal,0
Ray Lawrence,1
Jonathan Sanger,1
István Szabó,1
Gary Hudson,0
William Asher,1
Georges Lautner,1
Michael Pearce,1
Ettore Scola,0
Roger L. Simon,0
Sig Shore,0
Rob Nilsson,0
Cary Parker,1
Ian Mune,0
Brian Gilbert,1
