star,star_score
Margot Kidder,0
Steve Sandor,1
Ernest Borgnine,0
Martin Sheen,1
Peter Coyote,1
Dennis Hopper,1
Wings Hauser,0
Everett Silas,0
Jan-Michael Vincent,0
Richard Beymer,0
Mark Pirro,0
James Aubrey,0
Steve Railsback,0
Unknown,0
Kyle MacLachlan,0
Ralph Macchio,5
Heather Langenkamp,5
F. Murray Abraham,1
Patrick Swayze,5
Noah Hathaway,0
Kevin Bacon,5
Robert Carradine,5
Zach Galligan,5
Michael Paré,0
Molly Ringwald,5
Harry Dean Stanton,1
Rob Reiner,1
Val Kilmer,5
Peter Horton,1
Lance Guest,1
Tom Hanks,5
John Getz,1
Sumi Shimamoto,1
Erich Anderson,1
Grant Cramer,1
Rachel Ward,1
Helen Slater,0
Drew Barrymore,5
John Heard,1
Sam Waterston,1
Catherine Mary Stewart,1
Kathleen Turner,5
John Lurie,1
Judy Davis,1
Prince,5
Rob Lowe,1
Freddie Stuart,1
Tanya Roberts,0
Christopher Lambert,1
Chris Penn,1
Tawny Kitaen,1
Lucinda Dickey,5
Matthew Modine,1
Sarah Patterson,1
Peter Liapis,0
Lenny von Dohlen,1
Lilyan Chauvin,1
Eric Roberts,0
Lisa Hartman,1
Aidan Quinn,1
Rae Dawn Chong,1
Cameron Dye,1
James Garner,1
Teri Garr,0
Lisa Blount,0
Avtandil Makharadze,0
Gregory Harrison,1
Howard E. Rollins Jr.,1
Bill Paterson,1
Richard Mulligan,1
Diane Keaton,5
Tab Hunter,0
Michael Zorek,1
Steven Bauer,1
Joe Morton,1
Jon Cryer,1
Robert Ginty,1
Geneviève Bujold,1
Judd Nelson,1
Pascale Ogier,1
Anne Bancroft,1
Paul McCartney,0
Lorenzo Lamas,1
Karen Allen,0
Margarita Lozano,0
Debra Winger,0
Liv Ullmann,1
Cynthia Dale,1
Louis Ducreux,1
John Shea,1
Greg Bradford,0
Gary Busey,1
Patrick Houser,1
Steve Bisley,0
Christopher Plummer,1
Reece Dinsdale,1
Brooke Adams,1
Danielle Romeo,0
Nick Mancuso,0
Guy Marchand,1
Anthony Michael Hall,1
Sean Astin,5
Michael J. Fox,5
William Petersen,1
Eileen Brennan,0
Emilio Estevez,5
Don Ameche,5
Clu Gulager,1
Demi Moore,5
Jonathan Pryce,0
Danny Glover,5
John Cusack,5
Tatsuya Nakadai,0
Maggie Smith,5
Chris Sarandon,1
Ethan Hawke,5
Griffin Dunne,1
Robert Englund,5
Paul Reubens,1
Lori Cardille,1
Joyce Hyser,1
William Katt,1
Grant Bardsley,0
Melanie Kinnaman,1
Jeffrey Combs,0
Taimak,1
Biff Yeager,1
James Spader,0
Lauren Hutton,1
Rob Morrow,1
Jackie Chan,5
Jeff Goldblum,5
Mikhail Baryshnikov,1
Doug McKeon,1
Saeed Jaffrey,1
Nicholas Rowe,1
Mickey Rourke,5
Bruno Lawrence,1
Ken Watanabe,1
Stan Ivar,0
Kurt McKinney,1
Mary Beth Hurt,1
Ken Ogata,0
Kevin Costner,5
Meredith Salenger,1
Anthony Edwards,0
Richard Chamberlain,0
Michael Dudikoff,1
Powers Boothe,1
Helen Shaver,1
Lewis Smith,1
Mia Farrow,1
Anton Glanzelius,1
John Stockwell,1
Jennifer Connelly,1
Stephen Geoffreys,1
Shannon Presby,1
Betsy Russell,1
John Murray,1
Louise Lasser,0
Kurt Thomas,1
James Whitmore,1
Sting,0
Mel Smith,1
Raymond Burr,1
Geraldine Page,1
Norma Aleandro,1
Sheila E.,1
John Erwin,1
Moreno D'E Bartolli,1
Joe Colligan,0
Glenn Close,5
Lenore Zann,1
Georgia Engel,1
Richard Farnsworth,0
Miranda Richardson,0
Susan Dey,0
Anthony Hopkins,5
Timothy Dalton,5
Judge Reinhold,1
Kate Nelligan,1
Coral Browne,1
Gabriel Byrne,0
Vanessa Redgrave,1
Susan Sarandon,5
Bettina Bush,1
Roland Giraud,1
John Rhys-Davies,0
Mario Van Peebles,1
Gala Videnovic,0
Barry Otto,0
Ed Harris,1
Klaus Maria Brandauer,1
Forrest Tucker,0
